Dumpsite Name,Ward,Latitude,Longitude,Waste Types,Size of Dumpsite,Frequency of Dumping,Status (Active/Inactive),Waste Management Actors,Sources of Waste,Reasons for Dumping,Proposed Interventions,Community Interventions,Health & Burning Issues,Photo URL
Kipkaren,Langas,0.506582,35.248072,"Construction, E-waste, Glass, Medical, Metal, Others, Paper, Plastic",Large,,No,COUNTY OFFICERS,Households Markets Industries Schools Hospitals Others,No designated dumping site nearby Ignorance or lack of awareness,,,Yes,IMG_20250815_113417_085-11_39_58.jpg
Kimumu,Kimumu,0.5349,35.30038,"Construction, E-waste, Glass, Medical, Metal, Organic, Others, Paper, Plastic",Medium,,Yes,County Officers and Waste Management service providers,Households Others,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,Yes,IMG_20250815_140930_910-14_20_15.jpg
Kimumu,Kimumu,0.535653,35.301327,"Construction, E-waste, Glass, Medical, Metal, Organic, Others, Paper, Plastic",Small,,Yes,County Officers and Waste Management service providers,Households Markets Others,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,No,IMG_20250815_142456_063-14_31_55.jpg
Kimumu,Kimumu,0.536218,35.303997,"Construction, E-waste, Glass, Medical, Metal, Organic, Others, Paper, Plastic",Medium,,Yes,County Officers and Waste Management service providers,Households Markets Others,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees,,,No,IMG_20250815_143602_680-14_41_44.jpg
Bahati,Kimumu,0.531852,35.304462,"Organic, Others, Paper",Small,,Yes,Waste Management service providers,Households,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,Yes,IMG_20250815_145710_355-15_2_8.jpg
Bahati,Kimumu,0.526149,35.303255,"Organic, Others, Paper, Plastic",Small,,Yes,Waste Management service providers,Households Others,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees,,,nan,IMG_20250815_151425_981-15_21_55.jpg
Shauri,Huruma,0.524825,35.248648,"Glass, Organic, Others, Paper, Plastic",Small,,Yes,Waste Management service providers,Households Others,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,Yes,IMG_20250817_102105_419-10_47_29.jpg
Shauri,Huruma,0.526077,35.249672,"Construction, E-waste, Glass, Metal, Organic, Others, Paper, Plastic",Medium,,Yes,Waste Management service providers,Households Industries Others,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,Yes,17555039015552025674556942982886-10_58_40.jpg
Shauri,Huruma,0.526722,35.249407,"Construction, Organic, Others, Paper, Plastic",Small,,Yes,Waste Management service providers,Households Markets Others,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,No,IMG_20250818_110028_098-11_4_17.jpg
Shauri,Huruma,0.526353,35.250203,"Construction, E-waste, Glass, Metal, Organic, Others, Paper, Plastic",Large,,Yes,Waste Management service providers,Households Markets Industries Others,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,No,IMG_20250818_110703_252-11_10_50.jpg
Shauri,Huruma,0.523887,35.250858,"Organic, Others, Paper, Plastic",Small,,Yes,Waste Management service providers,Households Others,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,Yes,IMG_20250818_111439_670-11_18_1.jpg
Car wash,Huruma,0.523408,35.252655,"Organic, Others, Paper, Plastic",Small,,Yes,Waste Management service providers,Households Others,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,No,IMG_20250818_112141_888-11_24_44.jpg
Lower Shauri,Huruma,0.521648,35.25106,"Construction, Organic, Others, Paper, Plastic",Small,,Yes,Waste Management service providers,Households Others,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,No,IMG_20250818_112812_169-11_32_47.jpg
Lower Shauri,Huruma,0.522202,35.250317,"Organic, Others, Paper, Plastic",Small,,Yes,Waste Management service providers,Households Others,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,No,IMG_20250818_113603_964-11_39_23.jpg
Lower Shauri,Huruma,0.522443,35.24882,"Organic, Others, Paper, Plastic",Small,,Yes,Waste Management service providers,Households Others,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,No,IMG_20250818_114334_779-11_47_8.jpg
Lower Shauri,Huruma,0.520915,35.246454,"Organic, Others, Paper, Plastic",Small,,Yes,Waste Management service providers,Households Others,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,No,IMG_20250818_115247_461-11_55_44.jpg
Lower Shauri,Huruma,0.52078,35.244777,"Glass, Organic, Others, Paper, Plastic",Large,,Yes,Waste Management service providers,Households Others,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,No,IMG_20250818_115907_635-12_3_22.jpg
Lower Shauri,Huruma,0.521898,35.242255,"Construction, Glass, Organic, Others, Paper, Plastic",Large,,Yes,Waste Management service providers,Households Others,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,No,IMG_20250818_121023_496-12_13_33.jpg
HURUMA Dumpsite,Huruma,0.52185,35.238738,"Construction, E-waste, Glass, Medical, Metal, Organic, Others, Paper, Plastic",Large,,Yes,Eldoret municipality,Households Markets Industries Schools Hospitals Others,No designated dumping site nearby Others,,,Yes,IMG_20250818_122142_806-12_28_1.jpg
Kandie,Huruma,0.52501,35.246866,"Organic, Others, Paper, Plastic",Small,,Yes,Waste Management service providers,Households,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,No,IMG_20250818_124202_673-12_45_26.jpg
Kidiwa,Kiplombe,0.53016,35.259458,"Organic, Others, Paper, Plastic",Small,,Yes,Waste Management service providers,Households Others,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,No,IMG_20250818_135621_861-14_0_12.jpg
West,Kiplombe,0.524287,35.256325,"Organic, Others, Paper, Plastic",Medium,,Yes,Waste Management service providers,Households Others,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,No,IMG_20250818_144750_752-14_55_19.jpg
Mwanzo,Huruma,0.526133,35.253118,"Construction, Glass, Organic, Others, Paper, Plastic",Large,,Yes,Waste Management service providers,Households Others,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,No,IMG_20250818_145731_493-15_1_4.jpg
Shauri,Huruma,0.523892,35.249398,"Construction, Glass, Metal, Organic, Others, Paper, Plastic",Large,,Yes,Waste Management service providers,Households Markets Others,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,Yes,IMG_20250819_134406_901-13_49_33.jpg
Shell Shauri,Huruma,0.52362,35.250485,"Organic, Others, Paper, Plastic",Small,,Yes,Waste Management service providers,Households Others,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,No,IMG_20250819_143632_716-14_40_40.jpg
Shauri-Nehema,nan,0.524223,35.251087,"E-waste, Glass, Organic, Others, Paper, Plastic",Small,,Yes,Waste Management service providers,Households Others,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,Yes,IMG_20250819_144134_721-14_46_39.jpg
Lower Mwanzo,Kiplombe,0.52695,35.254868,"Organic, Others, Paper, Plastic",Small,,Yes,Waste Management service providers,Households,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,No,IMG_20250819_145042_372-14_55_22.jpg
Lower Mwanzo,Kiplombe,0.527592,35.2542,"Organic, Others, Paper, Plastic",Small,,Yes,Waste Management service providers,Households Others,Lack of waste collection services No designated dumping site nearby Ignorance or lack of awareness Convenience / Proximity to homes Avoiding collection fees Others,,,Yes,IMG_20250819_145637_163-15_3_51.jpg
